Metodo,TamanhoBuffer,TempoGasto,BytesCopiados
fread/fwrite,512,12611.812000,2147483640
read/write,512,11481.383000,2147483640
fread/fwrite,4096,1481.040000,2147483640
read/write,4096,1495.063000,2147483640
fread/fwrite,8192,745.105000,2147483640
read/write,8192,757.944000,2147483640
fread/fwrite,16384,376.369000,2147483640
read/write,16384,389.113000,2147483640
fread/fwrite,65536,101.398000,2147483640
read/write,65536,113.702000,2147483640
fread/fwrite,131072,54.257000,2147483640
read/write,131072,68.683000,2147483640
fread/fwrite,262144,32.604000,2147483640
read/write,262144,45.767000,2147483640
fread/fwrite,1048576,17.303000,2147483640
read/write,1048576,28.130000,2147483640
