Metodo,TamanhoBuffer,TempoGasto,BytesCopiados
fread/fwrite,512,1283.405000,268435440
read/write,512,1098.257000,268435440
fread/fwrite,4096,135.826000,268435440
read/write,4096,135.679000,268435440
fread/fwrite,8192,68.150000,268435440
read/write,8192,69.697000,268435440
fread/fwrite,16384,34.412000,268435440
read/write,16384,36.732000,268435440
fread/fwrite,65536,8.821000,268435440
read/write,65536,10.741000,268435440
fread/fwrite,131072,4.297000,268435440
read/write,131072,6.060000,268435440
fread/fwrite,262144,2.410000,268435440
read/write,262144,4.457000,268435440
fread/fwrite,1048576,0.862000,268435440
read/write,1048576,2.605000,268435440
