Metodo,TamanhoBuffer,TempoGasto,BytesCopiados
fread/fwrite,512,2367.394000,536870910
read/write,512,2610.194000,536870910
fread/fwrite,4096,327.960000,536870910
read/write,4096,362.029000,536870910
fread/fwrite,8192,162.449000,536870910
read/write,8192,162.178000,536870910
fread/fwrite,16384,93.834000,536870910
read/write,16384,86.032000,536870910
fread/fwrite,65536,19.986000,536870910
read/write,65536,23.666000,536870910
fread/fwrite,131072,10.724000,536870910
read/write,131072,13.677000,536870910
fread/fwrite,262144,6.493000,536870910
read/write,262144,9.761000,536870910
fread/fwrite,1048576,1.822000,536870910
read/write,1048576,5.469000,536870910
